revenue,popularity,budget,vote_average,vote_count
4750000,4.229941999999999,19000000,6.0,33
6928068,11.766564,19000000,6.2,208
5310554,2.3662509999999997,0,5.8,40
2119994,0.068228,19000000,5.6,5
108047131,30.205942999999998,19000000,6.0,588
32801173,26.441669,19000000,7.3,638
46770602,15.262492000000002,15000000,6.0,381
10680275,44.511363,18500000,7.2,1301
31912793,16.665841,18500000,6.0,518
268157400,36.471231,18000000,6.2,2713
351583407,85.30318,23000000,6.6,2472
151668774,20.716023,18000000,6.9,993
261572744,29.487784,18000000,6.5,1579
141774679,25.43954,18000000,6.1,882
87000000,15.314027,18000000,6.4,434
144216468,32.602868,19000000,6.3,659
65535067,9.832326,17000000,5.5,308
19682924,33.452469,16000000,3.7,392
65070412,6.501815000000001,18000000,5.6,74
76488889,26.588729999999998,23000000,6.5,656
67683989,36.15716,16500000,6.5,1013
88923251,16.027955,18000000,5.5,322
72417394,14.329891,21000000,6.3,238
98235548,50.009408,18000000,7.3,2093
51973029,31.82675,18000000,7.8,1076
14796236,9.642041,0,4.8,167
129042871,36.423716999999996,17000000,6.9,2320
87754044,11.693272,19800000,6.8,246
41382841,12.243886999999999,18000000,5.9,136
103215094,89.811154,18000000,7.4,4535
99206215,34.694216,18000000,7.0,1098
76286096,17.501379999999997,15000000,6.9,367
62646763,18.492655,18000000,6.0,303
21378361,14.518598,1000000,6.4,311
47088990,19.234672,18000000,6.9,342
24911670,4.504377,18000000,6.7,72
24007324,10.529143,0,5.6,225
100000000,18.379123999999997,18000000,5.8,383
23000000,35.524457,18000000,7.7,938
36133014,13.472365,18000000,5.6,180
35692920,52.464877,18000000,7.0,2606
17200925,6.961736,18000000,6.8,90
24000000,9.191187,17000000,5.4,167
16702864,4.492858999999999,18000000,4.9,76
34441873,53.670525,30000000,6.8,1573
2945600,11.725805000000001,18000000,3.7,14
28008462,7.047975,21000000,6.2,92
12000000,13.628601000000002,18000000,7.3,236
10501938,16.520516,18000000,4.9,246
8038061,14.916264000000002,18000000,6.9,176
25312387,9.633711,18000000,5.7,164
6735922,12.313143,17000000,5.8,177
14110013,3.258422,18000000,6.5,67
5887457,24.548633,18000000,7.3,630
20275812,17.683563,18000000,6.7,299
26527510,10.1449,18000000,6.5,158
25739015,31.887978000000004,18000000,6.9,836
20719451,1.876811,25000000,6.8,28
6212282,32.717853000000005,18000000,6.2,694
22309223,13.916583,18000000,6.7,273
3500000,10.47644,2700000,5.9,108
676698,10.991280999999999,18000000,7.0,104
7972967,7.871686,18000000,6.7,83
382174,6.333869,18000000,4.4,60
871279,1.138383,18000000,6.7,50
34000000,18.025206,3500000,6.9,270
1831348,9.244181,18000000,6.7,77
6948633,12.752463,17900000,5.0,206
13551174,22.748174,14000000,6.0,376
121463226,33.436091999999995,20000000,7.0,2100
90508336,3.107371,0,6.4,52
150816700,28.973074,23000000,6.5,640
51053787,23.980329,15000000,5.9,479
